| --------------------------------------------- | -- | -- | --- | --------------------------------------------- | -- | -- | -- | -- | -- | -- | -- |
| The skin of a taipan                          |  1 | 15 | 30m | A taipan, Pyramid of the Serpents             |  x |  x |    |  x |  x |    |    |
| The pyromancer and his wand                   |  1 | 20 | 40m | The pyromancer, Volcano                       |  x |  x |    |  x |  x |    |    |
| A Mask of Darkness                            |  1 | 25 | 50m | Sir Briene's room, Blackheart Keep            |  x |  x |    |  x |  x |    |    |
| A key to the sanctum                          |  2 | 25 |  5m | The archbishop, Dragonnia                     |  x |  x |    |  x |  x |    |    |
| The Adder of Death and his Gem                |  2 | 15 | 30m | The Adder of Death, Swamps of Thanos          |  x |  x |    |  x |  x |    |    |
| A Cloak of Invisibility                       |  2 | 15 | 30m | Zephirus, The Isle of the Druids              |  x |  x |  x |  x |  x |    |    |
| Proof there is a minotaur god                 |  2 | 15 | 30m | A minotaur god, The Tombs of Tarin            |  x |  x |    |  x |  x |    |    |
| Flidais and her armor                         |  2 | 15 | 30m | Flidais, The Isle of Tuatha de Danaan         |  x |  x |    |  x |  x |    |    |
| A pair of winged sandals                      |  2 | 15 | 30m | Hermes, New Olympus                           |  x |  x |    |  x |  x |    |    |
| King Neptune and his trident                  |  2 | 15 | 30m | Atlantis                                      |  x |  x |  x |  x |  x |    |    |
| The shield of ancient harmony                 |  2 | 20 | 30m | The monk, Valley of Dawn                      |  x |  x |    |  x |  x |    |    |
| Andromeda and her chains                      |  2 | 20 | 40m | Andromeda, The Outer Galaxy                   |  x |  x |  x |  x |  x |    |    |
| A rod of command                              |  2 | 20 | 40m | Pict leader, New Camelot                      |  x |  x |  x |  x |  x |    |    |
| Evergreen                                     |  2 | 20 | 40m | The Isle of Myst I                            |  x |  x |    |  x |  x |    |    |
| Sifrim                                        |  2 | 20 | 40m | Sifrim, Under Dark, 3s8w5s2w4s6en             |  x |  x |  x |  x |  x |    |    |
| The master werewolf and his talisman          |  2 |    | 40m | The master werewolf, Lord Vrolock's           |  x |  x |  x |  x |  x |    |    |
| A shady character and his ranseur dagger      |  2 | 25 | 50m | A shady character, The Dark Friends Guild     |  x |  x |    |  x |  x |    |    |
| The Dragon Lance and owner's head             |  2 |    | 50m | Dragonrider and glass case, Solamnic Knights  |  x |  x |    |  x |  x |    |    |
| A medusa and its brooch                       |  2 | 25 | 50m | DeathTrap Dungeon                             | 2x | 2x |  x | 2x |  x |    |    |
| Caris and his bracelet                        |  2 | 30 | 60m | Caris, The Under Dark, 6nwn from center       |  x |  x |  x |  x |  x |    |    |
| The remains of a powerful red demon           |  3 | 15 | 30m | A powerful red demon, The Fields of Chaos     |  x |  x |    |  x |  x |    |    |
| The mother phoenix and her egg                |  3 | 25 | 50m | The mother phoenix, Astral Extensions         |  x |  x |  x |  x |  x |    |    |
| Great undead and his glowing black orb        |  3 | 30 | 50m | Nosferatu, SilverDale (portal)                |  x |  x |    |  x |  x |    |    |
| A tome of learning                            |  3 | 30 | 60m | Lady Ssirak, The Siege on Malfor's Camp       |  x |  x |    |  x |  x |    |    |
| The tyrannosaurus                             |  3 | 35 | 45m | Tyrannosaurus, The Portals of Time            |  x |  x |  x |  x |  x |    |    |
| A horrifying monstrosity                      |  3 | 45 | 60m | A horrifying ghoul, The Ebony Queen           |  x |  x |    |  x |  x |    |    |
| The living storm in the Nothingness           |  3 | 30 | 50m | The Tempest (x2), Soth's Playground           |  x |  x |    |  x |  x |    |    |
| The blood of the fountain                     |  3 | 20 | 40m | The blood fountain, Silver Duchess Mines II   |  x |  x |    |  x |  x |    |    |
| Perseus,Bellerophon,Achilles,Jason,Odysseus   |  4 | 20 | 60m | Olympus "mobile forces"                       |  x |  x |    |  x |  x |    |    |
| --------------------------------------------- | -- | -- | --- | --------------------------------------------- | -- | -- | -- | -- | -- | -- | -- |
| Jarl, the Smithy, Myth-Try                    | qp | t# | c#  | location                                      | Dh | Do | Ek | Ko | Zi | Us | Db |
| --------------------------------------------- | -- | -- | --- | --------------------------------------------- | -- | -- | -- | -- | -- | -- | -- |
| Jarl's greatsword                             |  1 | 15 | 30m | Lord Korel in Garamond - summonable           |    |  x |  x |  x |  x |    |    |
| --------------------------------------------- | -- | -- | --- | --------------------------------------------- | -- | -- | -- | -- | -- | -- | -- |
| The Elite Royal Guard, Samsera                | qp | t# | c#  | location                                      | Dh | Do | Ek | Ko | Zi | Us | Db |
| --------------------------------------------- | -- | -- | --- | --------------------------------------------- | -- | -- | -- | -- | -- | -- | -- |
| the green dragon                              |  1 | 10 | 10m | Haon-Dor (Dark)                               |  x |  x |  x |  x |  x |  x |    |
| --------------------------------------------- | -- | -- | --- | --------------------------------------------- | -- | -- | -- | -- | -- | -- | -- |

| The moody faerie maker, The Book of Faerie, Faerie remort quest                                               |
| ------------------------------------------------------------------------------------------------------------- |
| goddess of fortune, enchantress, minion of nool, peter in arilin's castle                                     |
| ------------------------------------------------------------------------------------------------------------- |
| Giant | Stone giant chief in forgotten forest, fire giant in Silver Duchess Mines, forest giant in Tarin,     |
|       | cloud giant in The Steading                                                                           |

| --------------------------------------------- | -- | -- | --- | --------------------------------------------- |
| Kaij the Meek, shou-lin guild                 | qp | t# | c#  | location                                      |
| --------------------------------------------- | -- | -- | --- | --------------------------------------------- |
| handwear of a ghostly origin                  |  - |  5 | 10m | Spectral gauntlets (Ordog, Lord Vrolock's)    |
| handwear of ancient creature in mountain      |  - |  5 |  5m | Fists of the Dragon (Soong, Monastery)        |
| mightiest handwear known to mortals           |  - |  5 |  5m | Gauntlets of might (Xerxes level 4)           |
| the cube of power                             |  - |  5 |  5m | a glowing cube (guardian, various spawns)     |

| --------------------------------------------- | -- | -- | --- | --------------------------------------------- |
| Grandmaster Jhaethin, ranger guild            | qp | t# | c#  | location                                      |
| --------------------------------------------- | -- | -- | --- | --------------------------------------------- |
| boots with toes curled down into claws        |    |  5 |  5m | a pair of Clawed Boots (Zeboim, The Abyss     |
| bladed boots                                  |    |    |     | Lord Mourning, beneath Freeport               |
